MonthYear,Station.Number,Binned.Depth,Distance.from.36,Depth,Discrete.Chlorophyll,Chlorophyll.a.a.PHA,Fluorescence,Calculated.Chlorophyll,Discrete.Oxygen,Oxygen.Electrode.Output,Oxygen.Saturation.percent,Calculated.Oxygen,Discrete.SPM,Optical.Backscatter,Calculated.SPM,Measured.Extinction.Coefficient,Calculated.Extinction.Coefficient,Salinity,Temperature,Sigma.t,Nitrite,Nitrate...Nitrite,Ammonium,Phosphate,Silicate
1990-01,2.0,0,127.71,5.5,3.825,2.15,0.475,1.07,1.56125,2.0525,2.54375,3.035,3.52625,4.0175,4.50875,5.0,2.801,0.602,9.825,0.2785714285714286,0.2785714285714286,0.2785714285714286,0.2785714285714286,0.2785714285714286,0.2785714285714286
1990-01,4.0,0,119.9,5.5,0.7,0.27,0.39,0.9,1.2875,1.675,2.0625,2.45,2.8375,3.225,3.6125,4.0,2.981,1.9620000000000002,9.603,1.279,1.279,1.279,1.279,1.279,1.279
1990-01,6.0,0,110.9,6.0,0.3,0.14500000000000002,0.33727272727272734,0.7,1.025,1.3499999999999999,1.6749999999999998,1.9999999999999998,2.3249999999999997,2.6499999999999995,2.9749999999999996,3.3,4.114545454545454,4.929090909090909,9.434545454545455,3.6118181818181823,3.6118181818181823,3.6118181818181823,3.6118181818181823,3.6118181818181823,3.6118181818181823
1990-01,8.0,0,99.77,10.0,1.15,0.265,0.3878947368421053,0.868421052631579,1.0973684210526315,1.3263157894736843,1.555263157894737,1.7842105263157895,2.0131578947368425,2.242105263157895,2.4710526315789476,2.7,7.775526315789473,12.851052631578947,9.591578947368422,9.763157894736842,9.763157894736842,9.763157894736842,9.763157894736842,9.763157894736842,9.763157894736842
1990-01,11.0,0,89.77,6.0,0.7,0.175,0.4018181818181818,0.881818181818182,1.2715909090909092,1.6613636363636366,2.0511363636363638,2.440909090909091,2.830681818181818,3.2204545454545457,3.610227272727273,4.0,10.530909090909091,17.061818181818182,9.854545454545455,13.004545454545456,13.004545454545456,13.004545454545456,13.004545454545456,13.004545454545456,13.004545454545456
1990-01,13.0,0,78.54,6.0,0.65,0.29000000000000004,0.35909090909090907,0.8,1.125,1.45,1.775,2.0999999999999996,2.425,2.75,3.0749999999999993,3.4,13.950909090909091,24.50181818181818,10.564545454545454,18.682727272727274,18.682727272727274,18.682727272727274,18.682727272727274,18.682727272727274,18.682727272727274
1990-01,15.0,0,69.99,10.5,0.7,0.58,0.3295,0.71,0.8587499999999999,1.0074999999999998,1.15625,1.305,1.4537499999999999,1.6025,1.75125,1.9,13.470250000000002,25.0405,10.4185,19.1245,19.1245,19.1245,19.1245,19.1245,19.1245
1990-01,15.0,1,69.99,22.0,0.8,0.42,0.3,0.6,3.249,5.898,8.547,11.196,13.845,16.494,19.143,21.792,24.441000000000003,27.09,10.843333333333334,20.646666666666665,20.646666666666665,20.646666666666665,20.646666666666665,20.646666666666665,20.646666666666665
1990-01,16.0,0,63.080000000000005,6.5,0.9,0.43,0.33416666666666667,0.7166666666666667,0.8895833333333334,1.0625,1.2354166666666666,1.4083333333333332,1.5812499999999998,1.7541666666666669,1.9270833333333335,2.1,14.810416666666665,27.520833333333332,10.803333333333333,20.99,20.99,20.99,20.99,20.99,20.99
1990-01,17.0,0,58.89,10.5,1.0,0.59,0.328,0.71,0.77125,0.8325,0.8937499999999999,0.955,1.0162499999999999,1.0775,1.13875,1.2,15.51825,29.8365,11.0755,22.746000000000002,22.746000000000002,22.746000000000002,22.746000000000002,22.746000000000002,22.746000000000002
